Date,Received LYX,Former LYX Price,Income in EUR
2023-09-02,1.495761675,6.0232040495,9.01
2023-09-03,2.152107628,5.917146757,12.73
2023-09-04,1.378508056,5.7957527838,7.99
2023-09-05,1.718361466,5.8148706578,9.99
2023-09-06,1.060225598,5.7809581092,6.13
2023-09-07,2.1873332995,5.7164260438,12.5
2023-09-08,1.351038614,5.6725122961,7.66
2023-09-09,1.419519431,5.5552147288,7.89
2023-09-10,1.469951694,5.3880336404,7.92
2023-09-11,2.263571623,5.285006356,11.96
2023-09-12,1.5492079,5.2770042504,8.18
2023-09-13,1.472985866,5.4154315757,7.98
2023-09-14,1.5409381945,5.4730490719,8.43
2023-09-15,1.572018948,5.3846457071,8.46
2023-09-16,1.333126779,5.3593391477,7.14
2023-09-17,1.062424935,5.2707434015,5.6
2023-09-18,1.659864971,5.3013789706,8.8
2023-09-19,1.644971014,5.0834054574,8.36
2023-09-20,1.706315468,4.9045931257,8.37
2023-09-21,1.595515483,4.904521102,7.83
2023-09-22,1.580915418,5.0203834162,7.94
2023-09-23,0.872452569,5.0341399734,4.39
2023-09-24,1.584802176,4.9414419989,7.83
2023-09-25,1.691644071,4.946503113,8.37
2023-09-26,1.710280332,5.0401593352,8.62
2023-09-27,0.80588514,4.9727383832,4.01
2023-09-28,1.623721489,4.9307502514,8.01
2023-09-29,1.729589716,4.9284716969,8.52
2023-09-30,1.389189978,5.0486296327,7.01
2023-10-01,1.142087524,5.2038413613,5.94
2023-10-02,1.599993918,4.8993485164,7.84
2023-10-03,0.931030154,5.0908345393,4.74
2023-10-04,1.707072744,5.1066445567,8.72
2023-10-05,1.619664316,5.124831166,8.3
2023-10-06,0.815735692,5.2889560722,4.31
2023-10-07,1.668338505,5.1536685973,8.6
2023-10-08,1.624637585,5.0272735752,8.17
2023-10-09,1.782611014,5.0048744383,8.92
2023-10-10,0.840095731,4.8461979283,4.07
2023-10-11,1.741833045,4.8477020081,8.44
2023-10-12,1.774658136,4.7789789202,8.48
2023-10-13,0.966120937,4.8679183666,4.7
2023-10-14,1.668080953,4.9576682089,8.27
2023-10-15,0.860280847,5.0470560932,4.34
2023-10-16,1.623150737,4.9309934711,8.0
2023-10-17,1.706378078,4.9208085072,8.4
2023-10-18,0.860123185,4.9140603842,4.23
2023-10-19,0.4505542155,4.8234912882,2.17
2023-10-20,0.672993508,4.8988211125,3.3
2023-10-21,1.198940683,4.9674262912,5.96
2023-10-22,1.749802893,5.1426593139,9.0
2023-10-23,0.938788036,4.9808461833,4.68
2023-10-24,1.89117677,4.8041861241,9.09
2023-10-25,0.8773504575,4.9715093897,4.36
2023-10-26,1.926458257,5.082184731,9.79
2023-10-27,0.927723714,4.9593588142,4.6
2023-10-28,1.953921753,5.0149041727,9.8
2023-10-29,0.980981501,5.1252375145,5.03
2023-10-30,1.832671408,5.2434532086,9.61
2023-10-31,0.912200835,5.3532655726,4.88
2023-11-01,1.00189426,5.3822887649,5.39
2023-11-02,1.945223742,5.7917266243,11.27
2023-11-03,0.911394077,6.1842797749,5.64
2023-11-04,1.78683068,6.1274791447,10.95
2023-11-05,1.138033043,5.9729749376,6.8
2023-11-06,0.91764279,5.9214137042,5.43
2023-11-07,1.913741958,5.960109601,11.41
2023-11-08,0.932477506,5.9420219588,5.54
2023-11-09,0.965645149,5.7732947971,5.57
2023-11-10,0.933834628,5.9955470106,5.6
2023-11-11,1.835204674,6.1285602608,11.25
2023-11-12,0.956315822,6.146600919,5.88
2023-11-13,0.941752566,6.2543376052,5.89
2023-11-14,0.926170394,6.007927856,5.56
2023-11-15,1.749766833,5.8692599732,10.27
2023-11-16,0.8731713685,5.8488315669,5.11
2023-11-17,0.9206673745,5.763872614,5.31
2023-11-18,0.933107677,5.8015172257,5.41
2023-11-19,1.93753775,5.9514053187,11.53
2023-11-20,1.045011162,5.8858128321,6.15
2023-11-21,1.000092787,5.7378371651,5.74
2023-11-22,0.965888474,5.8071618884,5.61
2023-11-23,0.996542998,5.9987950277,5.98
2023-11-24,0.919637063,5.9900518952,5.51
2023-11-25,1.0346426235,5.7956469406,6.0
2023-11-26,2.012833701,5.6305996119,11.33
2023-11-27,0.971004343,5.5230696578,5.36
2023-11-28,1.003065005,5.5792732306,5.6
2023-11-29,0.994864389,5.8789508259,5.85
2023-11-30,1.081208949,6.1493125893,6.65
2023-12-01,1.015147971,6.691030058,6.79
2023-12-02,0.965706774,7.8576380201,7.59
2023-12-03,0.942034438,8.2937785128,7.81
2023-12-04,1.035097784,7.9569825262,8.24
2023-12-05,1.067313842,7.4154587278,7.91
2023-12-06,1.00594928,7.1445563205,7.19
2023-12-07,0.9666009755,7.0907476301,6.85
2023-12-08,1.063197377,7.0308070624,7.48
2023-12-09,0.960886751,7.2163502957,6.93
2023-12-10,2.223561663,6.98349835,15.53
2023-12-11,0.971816565,6.6386388054,6.45
2023-12-12,1.0491645135,6.7536056657,7.09
2023-12-13,1.035820105,6.9753383985,7.23
2023-12-14,1.1222123545,7.0521124985,7.91
2023-12-15,1.121964839,6.9433082604,7.79
2023-12-16,1.074735694,6.7901246543,7.3
2023-12-17,1.134095478,6.9372749464,7.87
2023-12-18,1.060173774,6.9900601562,7.41
2023-12-19,0.99697278,6.9863888836,6.97
2023-12-20,0.9790769115,7.5672594904,7.41
2023-12-21,0.954736667,8.0615364511,7.7
2023-12-22,1.037576793,7.975290918,8.27
2023-12-23,0.993772527,7.8418707563,7.79
2023-12-24,0.988349114,7.6964540338,7.61
2023-12-25,1.09361801,7.4797723029,8.18
2023-12-26,1.712399467,7.4708600221,12.79
2023-12-27,1.478761256,7.2299048142,10.69
2023-12-28,1.080945081,6.9514890719,7.51
2023-12-29,1.09839097,7.0343479892,7.73
2023-12-30,1.129773409,7.028563918,7.94
2023-12-31,1.122154678,7.2619752001,8.15
